----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 10:18:59 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'NVIDIA Share.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 23632} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 24172} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 24224} 
{'name': 'AsusOptimizationStartupTask.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 24308} 
{'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 24320} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 24340} 
{'name': 'atieclxx.exe', 'username': None, 'pid': 24452} 
{'name': 'Widgets.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 24768} 
{'name': 'svchost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 25172} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 25304} 
{'name': 'GPUPowerSavingTrayIcon.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 25392} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 25496} 
{'name': 'svchost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 25536} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 25864} 
{'name': 'taskhostw.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 26028} 
{'name': 'HxTsr.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 26052} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 26180} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 26316} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 26428} 
{'name': 'winlogon.exe', 'username': None, 'pid': 26484} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 26496} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 26964} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 27268} 
{'name': 'ArmouryCrate.DenoiseAI.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 27304} 
{'name': 'svchost.exe', 'username': None, 'pid': 27460} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 27652} 
{'name': 'conhost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28112} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28180} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28192} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28212} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28632} 
{'name': 'nvcontainer.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28684} 
{'name': 'CptHost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28696} 
{'name': 'ACCIMonitor.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28868} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 28892} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 29052} 
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 29076} 
{'name': 'cncmd.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 29164} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 29384} 
{'name': 'AutoConnectHelper.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 29628} 
----------------------------------------------------------------------
