----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 09:42:51 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 18060, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 18592, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'conhost.exe'} 
{'pid': 18880, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 19004, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'SecurityHealthSystray.exe'} 
{'pid': 19028, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 19040, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 19460, 'username': None, 'name': 'dwm.exe'} 
{'pid': 19644, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 19884, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 19960, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'powershell.exe'} 
{'pid': 20000, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'svchost.exe'} 
{'pid': 20012, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 20268, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ollama app.exe'} 
{'pid': 20340, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Zoom.exe'} 
{'pid': 20440, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 20616, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ArmouryCrate.exe'} 
{'pid': 20752, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 20768, 'username': None, 'name': 'svchost.exe'} 
{'pid': 20856, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 21248, 'username': None, 'name': 'svchost.exe'} 
